"t (s)","Inclination (deg)","Rotation (deg)"
9.892556538e1,9.954659512e-1,9.332312413e0
9.942693837e1,8.974504373e-1,3.814074834e0
9.992831125e1,2.305273658e0,-1.114588867e1
1.004296852e2,4.753935906e0,-7.203460499e0
1.009310589e2,8.136420616e0,-3.829932546e0
1.014324319e2,7.547746859e0,-4.084970589e0
1.019338054e2,1.301942431e0,7.515640237e0
1.024351784e2,1.097540417e0,5.720066555e0
1.029365507e2,1.140635544e0,2.763772411e0
1.034379237e2,1.650358039e0,-6.335563323e0
1.044406697e2,6.552562209e0,-3.833523162e0
1.049420476e2,9.575348526e0,-2.890020749e0
1.054434206e2,8.144921807e0,-3.275723111e0
1.059447900e2,1.094514094e0,7.715042666e0
1.064461620e2,8.865729959e-1,3.108860411e0
1.069475347e2,9.037097233e-1,5.481139778e-1
1.074489077e2,9.040532687e-1,6.012143599e0
1.079502809e2,2.415826973e0,-1.481272988e1
1.084516529e2,4.172315083e0,-5.097271295e0
1.089530264e2,5.418408692e0,-4.838919337e0
1.094543994e2,7.193643881e0,-2.947674817e0
1.104571435e2,6.511137463e0,-4.878719066e0
1.109585165e2,1.008124283e0,-5.147630566e0
1.114598888e2,1.001710229e0,-4.969045615e0
1.119612618e2,9.994984618e-1,-5.242113802e0
1.124626336e2,1.004174777e0,-5.041190835e0
1.129715036e2,1.001635813e0,-5.318668589e0
1.134814240e2,1.367783892e0,-1.076815323e1
1.139827950e2,3.527678986e0,-1.721344433e1
1.144841682e2,6.556822808e0,-8.582120581e0
1.149855402e2,8.896333402e0,-6.461695077e0
1.154869117e2,8.491779981e0,-5.062339994e0
1.159882837e2,1.089065647e0,-8.540866287e0
1.169910279e2,8.833900367e-1,2.251519459e-1
1.174923989e2,9.797377992e-1,-5.122038917e0
1.179937699e2,2.231664205e0,-1.478119927e1
1.184951453e2,5.419918778e0,-1.222989213e1
1.189965163e2,7.721699870e0,-7.738066878e0
1.194978842e2,1.010751142e1,-6.032220045e0
1.199992542e2,2.780310545e0,-5.990167275e0
1.205006239e2,8.053633791e-1,7.090835125e0
