"t (s),""Inclination (deg)"",""Rotation (deg)"""
2.375310401e2,7.752397661e-1,-2.481653039e1
2.380398121e2,7.734518338e-1,-2.472243975e1
2.385485680e2,7.667711352e-1,-2.466315895e1
2.390572760e2,7.716524917e-1,-2.475595721e1
2.395659720e2,7.750297598e-1,-2.538623115e1
2.400746620e2,7.726558646e-1,-2.474145180e1
2.405833687e2,7.738304443e-1,-2.519875051e1
2.410920978e2,7.724021440e-1,-2.455572757e1
2.416008281e2,7.811427445e-1,-2.488751793e1
2.421095481e2,7.757603048e-1,-2.479448912e1
2.426182749e2,7.794298777e-1,-2.472716319e1
2.431270129e2,7.707642666e-1,-2.547406918e1
2.441444679e2,7.773972411e-1,-2.468028874e1
2.446532008e2,7.732050208e-1,-2.493901156e1
2.451619228e2,7.792547206e-1,-2.459567432e1
2.456706324e2,7.663556808e-1,-2.480730442e1
2.461793574e2,7.795053420e-1,-2.480853110e1
2.466880906e2,7.795905467e-1,-2.504752848e1
2.471968026e2,7.810080675e-1,-2.492034821e1
2.477055287e2,7.734232337e-1,-2.502112890e1
2.482142387e2,7.822504032e-1,-2.475392816e1
2.487229636e2,7.746353838e-1,-2.468686596e1
2.492316986e2,7.816982916e-1,-2.497148341e1
2.497404161e2,7.799341145e-1,-2.495235601e1
2.502491331e2,7.759107025e-1,-2.500729824e1
2.507578528e2,7.787436096e-1,-2.444772654e1
2.512665678e2,7.789002173e-1,-2.465463513e1
2.517753004e2,7.801167107e-1,-2.422157922e1
2.522840074e2,7.738336078e-1,-2.479774445e1
2.527927223e2,7.751019220e-1,-2.449174669e1
2.533014243e2,7.794725557e-1,-2.480491314e1
2.538101192e2,7.780054182e-1,-2.500694119e1
2.543188092e2,7.665661578e-1,-2.444576415e1
2.553361579e2,7.747061132e-1,-2.490703600e1
2.558448501e2,7.760881531e-1,-2.486012684e1
2.563535291e2,7.759261200e-1,-2.464531719e1
2.568622257e2,7.795779161e-1,-2.520280669e1
2.573709198e2,7.867533828e-1,-2.515696439e1
2.578796542e2,7.720555717e-1,-2.456730407e1
2.583883852e2,7.747974196e-1,-2.463951857e1
2.588971054e2,7.740237777e-1,-2.455072411e1
2.594058474e2,7.702998006e-1,-2.463398808e1
2.599145750e2,7.718181183e-1,-2.496203118e1
2.604232690e2,7.791958101e-1,-2.497882858e1
2.609319905e2,7.766242949e-1,-2.476733815e1
2.614407125e2,7.685634050e-1,-2.510191222e1
2.619494463e2,7.771114845e-1,-2.475555978e1
2.624582013e2,7.790965691e-1,-2.511880982e1
2.629669503e2,7.744446217e-1,-2.489928329e1
2.634756853e2,7.729640914e-1,-2.470574430e1
2.639844205e2,7.749952018e-1,-2.494403938e1
2.644931665e2,7.715239600e-1,-2.535796792e1
2.650018910e2,7.735680813e-1,-2.504792764e1
2.655105980e2,7.827609886e-1,-2.457237510e1
2.660193159e2,7.751573382e-1,-2.443184816e1
2.665280308e2,7.697542187e-1,-2.518782952e1
